cpu,memory,malicious
0.7,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.7,0
0.5,15.7,0
0.9,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.7,15.7,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.7,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.9,16.0,0
0.7,16.0,0
0.5,16.0,0
0.2,16.1,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.7,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.2,16.0,0
0.7,16.0,0
0.7,16.0,0
0.7,16.1,0
0.2,16.1,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.7,16.0,0
0.2,16.0,0
0.7,16.2,0
0.7,16.1,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.7,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.2,0
0.5,16.0,0
0.5,16.0,0
0.7,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.7,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.9,16.0,0
0.7,16.0,0
0.7,16.1,0
0.2,16.1,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.9,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.1,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.7,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.7,16.0,0
0.5,16.1,0
0.5,16.1,0
0.7,16.2,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.5,16.2,0
0.5,16.1,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.5,16.0,0
0.2,16.0,0
0.7,16.0,0
0.5,16.0,0
0.5,16.0,0
0.7,16.0,0
0.5,16.1,0
0.5,16.0,0
0.5,16.0,0
0.5,16.0,0
0.7,16.0,0
0.2,16.0,0
0.2,16.0,0
0.7,16.0,0
0.5,17.8,0
0.5,17.8,0
0.9,17.8,0
0.5,17.8,0
0.5,17.8,0
0.7,17.8,0
0.5,17.8,0
0.5,17.7,0
0.7,17.7,0
0.5,17.7,0
0.5,17.7,0
0.5,17.7,0
0.5,17.7,0
0.2,17.8,0
0.5,17.8,0
0.5,17.7,0
0.9,17.7,0
0.2,17.5,0
0.7,17.4,0
0.5,17.4,0
0.8,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.7,15.7,0
0.2,15.7,0
0.7,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.8,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.9,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.7,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.8,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.7,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.7,0
0.5,15.8,0
0.5,15.8,0
0.2,15.7,0
0.7,15.7,0
0.7,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.7,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.7,15.7,0
0.2,15.7,0
0.5,15.7,0
0.7,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.8,0
0.5,15.8,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.8,0
0.7,15.8,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.7,15.7,0
0.2,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.8,0
0.2,15.8,0
0.5,15.9,0
0.2,15.8,0
0.7,15.8,0
0.2,15.8,0
0.2,15.7,0
0.5,15.7,0
0.7,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.7,15.7,0
0.7,15.7,0
0.2,15.7,0
0.2,15.8,0
0.2,15.8,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.2,15.7,0
0.2,15.7,0
0.5,15.7,0
0.2,15.7,0
0.5,15.7,0
0.5,15.7,0
0.5,15.7,0
0.2,15.7,0
0.7,15.7,0
0.5,15.7,0
0.2,15.6,0
0.2,15.6,0
0.5,15.6,0
0.7,15.6,0
0.2,15.6,0
0.2,15.6,0
0.5,15.6,0
0.5,15.6,0
0.5,17.3,0
0.5,17.3,0
0.7,17.3,0
0.7,17.3,0
0.7,17.3,0
0.5,17.3,0
0.7,17.3,0
0.9,17.3,0
0.2,17.3,0
0.5,17.3,0
0.2,17.3,0
0.5,17.3,0
0.9,17.3,0
0.2,17.3,0
0.2,17.5,0
0.5,17.5,0
0.5,17.4,0
0.5,17.4,0
0.5,17.4,0
0.7,17.4,0
0.2,17.4,0
0.9,17.4,0
0.2,17.4,0
0.9,17.4,0
0.7,17.4,0
0.7,17.4,0
0.7,17.4,0
0.7,17.4,0
0.2,17.4,0
0.7,17.4,0
0.5,17.4,0
0.9,17.4,0
0.5,17.4,0
0.7,17.4,0
0.5,17.4,0
0.5,17.4,0
0.5,17.4,0
0.7,17.4,0
0.7,17.5,0
0.9,17.5,0
0.5,17.4,0
0.5,17.4,0
0.5,17.4,0
