
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D0:9D:AB:43:9B:A2, 2018-08-18 14:38:10, 2018-08-18 15:32:05,  3,  65, OPN, ,   , -89,        5,        0,   0.  0.  0.  0,  10, Y610D_9BA2, 
50:2B:73:E4:4E:80, 2018-08-18 14:31:39, 2018-08-18 15:28:26, 11, 130, WPA2, CCMP, PSK, -40,    12401,       27,   0.  0.  0.  0,  10, sperixlabs, 
E8:B4:C8:CC:E2:0D, 2018-08-18 14:35:11, 2018-08-18 14:36:04,  6,  65, WPA2, CCMP, PSK, -51,       38,       44,   0.  0.  0.  0,   3, Lux, 
84:BE:52:1D:02:50, 2018-08-18 14:31:39, 2018-08-18 15:34:07,  1, 130, WPA2, CCMP TKIP, PSK, -85,       56,        3,   0.  0.  0.  0,   6, conrad, 
00:15:6D:72:BD:A2, 2018-08-18 14:31:42, 2018-08-18 15:34:02, 11, 130, OPN, ,   , -78,     1326,        0,   0.  0.  0.  0,  26, Cloud@NO-Weapon-0202699110, 
24:A4:3C:B6:8E:4B, 2018-08-18 14:31:40, 2018-08-18 15:34:07,  2, 130, OPN, ,   , -64,     4248,        0,   0.  0.  0.  0,  18, Cloud@0202699110-K, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EA:B8:56:37:CD:A6, 2018-08-18 15:28:29, 2018-08-18 15:29:34, -46,       53, (not associated) ,
6C:72:E7:C5:4E:0D, 2018-08-18 14:58:08, 2018-08-18 14:58:08,  -1,        8, 24:A4:3C:B6:8E:4B,
E8:B4:C8:CC:E2:0D, 2018-08-18 14:45:49, 2018-08-18 14:53:56, -64,      217, 50:2B:73:E4:4E:80,
B8:C8:EB:C7:27:C1, 2018-08-18 14:40:03, 2018-08-18 14:46:16, -82,        4, (not associated) ,
7C:D1:C3:7B:BB:68, 2018-08-18 14:35:12, 2018-08-18 14:36:07, -36,      123, E8:B4:C8:CC:E2:0D,Lux
DC:44:B6:2C:6A:3F, 2018-08-18 14:38:10, 2018-08-18 14:40:01, -88,        2, D0:9D:AB:43:9B:A2,
78:FF:CA:6A:67:92, 2018-08-18 14:32:09, 2018-08-18 15:23:21, -68,       29, (not associated) ,
48:50:73:89:1D:AA, 2018-08-18 14:32:41, 2018-08-18 15:27:12, -74,       23, (not associated) ,WIFI KNUST 
84:3A:4B:77:BC:90, 2018-08-18 14:32:22, 2018-08-18 15:30:18, -70,       85, (not associated) ,
BC:B3:08:D7:3B:EA, 2018-08-18 14:56:15, 2018-08-18 15:32:05, -88,       11, D0:9D:AB:43:9B:A2,
C4:62:EA:2F:08:4A, 2018-08-18 14:32:53, 2018-08-18 15:32:54, -86,       11, (not associated) ,
10:08:C1:3E:08:D0, 2018-08-18 14:31:39, 2018-08-18 15:34:07, -76,     1978, 84:BE:52:1D:02:50,
02:C9:08:00:80:C8, 2018-08-18 15:31:09, 2018-08-18 15:33:13, -13,       56, (not associated) ,

