
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5C:83:8F:14:C9:A1, 2018-08-12 15:00:53, 2018-08-12 15:58:02, 11,  54, WPA2, CCMP, MGT, -88,       15,        2,   0.  0.  0.  0,  10, KNUST WIFI, 
00:27:22:C0:A8:70, 2018-08-12 13:59:01, 2018-08-12 15:57:48,  2, 130, OPN, ,   , -87,      242,       12,   0.  0.  0.  0,  15, IDN WiFi - Zone, 
5C:83:8F:14:C9:A2, 2018-08-12 15:01:25, 2018-08-12 15:57:50, 11,  54, WEP, WEP GCMP,   , -88,       30,        0,   0.  0.  0.  0,   1, , 
5C:83:8F:14:BA:D1, 2018-08-12 15:00:37, 2018-08-12 15:57:38, 11,  54, WPA2, CCMP, MGT, -88,      140,        0,   0.  0.  0.  0,  10, KNUST WIFI, 
5C:83:8F:49:1E:50, 2018-08-12 14:17:02, 2018-08-12 15:57:22,  6,  -1, OPN, ,   ,  -1,        0,       29,   0.  0.  0.  0,   0, , 
5C:83:8F:14:BA:D2, 2018-08-12 15:00:25, 2018-08-12 15:57:14, 11,  54, WEP, WEP GCMP,   , -87,       75,        0,   0.  0.  0.  0,   1, , 
5C:83:8F:04:25:A2, 2018-08-12 15:00:25, 2018-08-12 15:57:14,  6,  54, WEP, WEP GCMP,   , -90,       62,        0,   0.  0.  0.  0,   1, , 
5C:83:8F:14:BA:D3, 2018-08-12 14:59:57, 2018-08-12 15:57:02, 11, 195, WPA2, CCMP, MGT, -86,       90,        0,   0.  0.  0.  0,   7, eduroam, 
EC:BD:1D:D8:FC:54, 2018-08-12 15:00:29, 2018-08-12 15:56:22, 11, 195, WPA2 WPA, CCMP, PSK, -87,       67,        0,   0.  0.  0.  0,   1, , 
5C:83:8F:04:25:A4, 2018-08-12 15:02:02, 2018-08-12 15:56:23,  6, 195, WPA2 WPA, CCMP, PSK, -89,       49,        0,   0.  0.  0.  0,   1, , 
00:15:6D:72:BD:EA, 2018-08-12 15:00:21, 2018-08-12 15:56:10, 10, 130, OPN, ,   , -85,       30,        0,   0.  0.  0.  0,  16, Cloud@0202699110, 
EC:BD:1D:D8:FC:51, 2018-08-12 14:41:35, 2018-08-12 15:56:10, 11,  54, WPA2, CCMP, MGT, -85,      102,       13,   0.  0.  0.  0,  10, KNUST WIFI, 
E8:94:F6:AD:B8:E4, 2018-08-12 13:59:07, 2018-08-12 15:55:58,  4, 270, WPA2, CCMP TKIP, PSK, -88,     1204,       21,   0.  0.  0.  0,   7, TP-LINK, 
5C:83:8F:26:F3:21, 2018-08-12 15:19:10, 2018-08-12 15:54:11,  1,  54, WPA2, CCMP, MGT, -89,        4,        0,   0.  0.  0.  0,  10, KNUST WIFI, 
5C:83:8F:0C:9A:A4, 2018-08-12 13:58:56, 2018-08-12 15:53:35,  1, 195, WPA2 WPA, CCMP, PSK, -84,      374,        0,   0.  0.  0.  0,   1, , 
94:10:3E:03:4A:42, 2018-08-12 15:00:29, 2018-08-12 15:52:23,  5, 195, WPA2, CCMP, PSK, -89,       62,        0,   0.  0.  0.  0,   6, Widlar, 
5C:83:8F:49:0D:30, 2018-08-12 15:11:00, 2018-08-12 15:49:00,  6,  -1, OPN, ,   ,  -1,        0,       10,   0.  0.  0.  0,   0, , 
00:78:88:FE:1F:B4, 2018-08-12 14:00:04, 2018-08-12 15:47:09,  1, 195, WPA2 WPA, CCMP, PSK, -89,      466,        0,   0.  0.  0.  0,   1, , 
5C:83:8F:0C:9A:A1, 2018-08-12 13:58:56, 2018-08-12 15:42:14,  1,  54, WPA2, CCMP, MGT, -85,      441,        2,   0.  0.  0.  0,  10, KNUST WIFI, 
00:78:88:FE:1F:B0, 2018-08-12 14:20:05, 2018-08-12 15:41:45,  5,  -1, OPN, ,   ,  -1,        0,       15,   0.  0.  0.  0,   0, , 
5C:83:8F:14:80:40, 2018-08-12 14:17:42, 2018-08-12 15:41:02, 11,  -1, OPN, ,   ,  -1,        0,       19,   0.  0.  0.  0,   0, , 
5C:83:8F:49:0B:11, 2018-08-12 14:41:36, 2018-08-12 15:34:51, 11,  54, WPA2, CCMP, MGT, -85,       22,        8,   0.  0.  0.  0,  10, KNUST WIFI, 
00:78:88:09:F2:23, 2018-08-12 15:11:48, 2018-08-12 15:21:12,  1, 195, WPA2, CCMP, MGT, -89,       19,        0,   0.  0.  0.  0,   7, eduroam, 
00:78:88:09:F2:22, 2018-08-12 15:11:48, 2018-08-12 15:21:16,  1,  54, WEP, WEP GCMP,   , -89,       35,        0,   0.  0.  0.  0,   1, , 
5C:83:8F:26:F3:23, 2018-08-12 15:20:27, 2018-08-12 15:20:27,  1, 195, WPA2, CCMP, MGT, -90,        1,        0,   0.  0.  0.  0,   7, eduroam, 
00:00:00:00:00:00, 2018-08-12 15:19:40, 2018-08-12 15:19:40,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:78:88:E8:43:04, 2018-08-12 15:08:00, 2018-08-12 15:19:38,  6, 195, WPA2 WPA, CCMP, PSK, -90,        3,        0,   0.  0.  0.  0,   1, , 
00:24:B2:25:A7:1C, 2018-08-12 13:59:12, 2018-08-12 15:19:01, 11,  54, WPA, TKIP, PSK, -88,      959,        0,   0.  0.  0.  0,   5, tuff1, 
