
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
86:C7:EA:C5:2A:69, 2019-10-19 07:34:05, 2019-10-19 07:34:05,  7,  65, WPA2, CCMP, PSK, -86,        0,        0,   0.  0.  0.  0,  24, 3yaa buy bundle na wotw3, 
00:00:00:00:00:00, 2019-10-19 07:33:32, 2019-10-19 07:33:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:F3:A3:1E:FD:4B, 2019-10-19 07:33:49, 2019-10-19 07:35:46, 11, 270, WPA2, CCMP TKIP, PSK, -85,       13,        0,   0.  0.  0.  0,  14, Connect Router, 
AE:2D:A9:91:06:83, 2019-10-19 07:33:50, 2019-10-19 07:35:47,  7,  65, WPA2, CCMP, PSK, -81,       15,        2,   0.  0.  0.  0,  17, TECNO SPARK 3 Pro, 
26:23:87:39:C7:53, 2019-10-19 07:31:40, 2019-10-19 07:35:46, 11,  65, WPA2, CCMP, PSK, -81,       85,        0,   0.  0.  0.  0,  21, DIRECT-BfALBIE-PCmsMK, 
26:18:1D:C6:CD:22, 2019-10-19 07:31:41, 2019-10-19 07:35:47,  1, 130, OPN, ,   , -77,      111,        3, 192.168. 43. 24,   5, TcNet, 
24:FB:65:97:18:4B, 2019-10-19 07:31:38, 2019-10-19 07:35:47,  1, 270, WPA2, CCMP, PSK, -73,      215,       11,   0.  0.  0.  0,   5, Tcnet, 
9A:DD:EA:19:43:DF, 2019-10-19 07:31:39, 2019-10-19 07:35:47,  1,  65, WPA2, CCMP, PSK, -62,      396,       59,   0.  0.  0.  0,  15, www.bjaysam.com, 
56:92:09:53:EE:94, 2019-10-19 07:31:38, 2019-10-19 07:35:47,  9, 270, WPA2, CCMP, PSK, -60,      538,        0,   0.  0.  0.  0,  24, , 
54:92:09:53:EE:9F, 2019-10-19 07:31:38, 2019-10-19 07:35:47,  9, 270, WPA2, CCMP, PSK, -38,      565,     1001,   0.  0.  0.  0,   7, ENT Lab, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:B4:C8:CC:E2:0D, 2019-10-19 07:32:01, 2019-10-19 07:34:37, -56,       11, 54:92:09:53:EE:9F,
9E:A9:99:1E:E6:D6, 2019-10-19 07:34:42, 2019-10-19 07:34:42, -78,        5, (not associated) ,
E0:CA:94:C7:4D:1D, 2019-10-19 07:31:38, 2019-10-19 07:34:39, -84,        9, (not associated) ,
02:CC:51:E2:B7:3C, 2019-10-19 07:34:42, 2019-10-19 07:34:42, -85,        2, (not associated) ,T wifi zone_secure
F2:7B:BF:67:D0:19, 2019-10-19 07:34:27, 2019-10-19 07:34:28, -75,        3, (not associated) ,
44:6D:57:76:B8:EC, 2019-10-19 07:32:26, 2019-10-19 07:34:25, -81,        9, (not associated) ,
64:B8:53:53:3A:77, 2019-10-19 07:34:25, 2019-10-19 07:34:25, -82,        3, (not associated) ,
CE:22:95:4A:61:21, 2019-10-19 07:34:26, 2019-10-19 07:34:26, -83,        1, (not associated) ,
DA:24:C9:1D:50:18, 2019-10-19 07:34:17, 2019-10-19 07:34:17, -74,       11, (not associated) ,
8A:D8:67:98:0C:7B, 2019-10-19 07:34:13, 2019-10-19 07:34:13, -79,        7, (not associated) ,
CC:73:14:61:65:1E, 2019-10-19 07:34:13, 2019-10-19 07:34:13, -81,        2, (not associated) ,
9C:AF:6F:60:6B:10, 2019-10-19 07:34:02, 2019-10-19 07:34:02, -91,        1, (not associated) ,
E0:33:8E:BF:D2:60, 2019-10-19 07:33:49, 2019-10-19 07:33:49, -91,        1, 20:F3:A3:1E:FD:4B,
D2:56:F8:51:E1:86, 2019-10-19 07:33:39, 2019-10-19 07:33:39, -78,        1, (not associated) ,
82:B2:19:9E:F8:A9, 2019-10-19 07:33:39, 2019-10-19 07:33:39, -84,        1, (not associated) ,
A0:28:ED:C4:AE:CB, 2019-10-19 07:33:41, 2019-10-19 07:33:41, -87,        1, (not associated) ,
82:6A:D0:19:9B:AE, 2019-10-19 07:33:13, 2019-10-19 07:33:13, -74,        6, (not associated) ,
B2:A7:95:3F:70:35, 2019-10-19 07:33:06, 2019-10-19 07:33:06, -80,        2, (not associated) ,
F2:26:1E:86:C9:00, 2019-10-19 07:33:05, 2019-10-19 07:33:05, -84,        1, (not associated) ,
C2:0B:AB:81:22:77, 2019-10-19 07:32:51, 2019-10-19 07:32:51, -85,        2, (not associated) ,
44:1C:A8:56:3A:F8, 2019-10-19 07:31:53, 2019-10-19 07:32:52, -86,        5, (not associated) ,
